ESRI_OID,workplace_code,workplace_name,activity_evrk2,municipality,county,employees,immunised_percent,percentile_1,percentile_2,as_of_date
11556,301120589,"UAB ""GETVITA""",432100,Kauno m. sav.,Kauno apskr.,10,90-100%,49,50,2022-03-20
11557,301126535,UAB MONTE PACIS,561000,Kauno m. sav.,Kauno apskr.,35,90-100%,100,100,2022-03-20
11558,301127637,"UAB ""Ex prompto""",561000,Kauno m. sav.,Kauno apskr.,215,90-100%,94,96,2022-03-20
11559,301128835,"Viešoji įstaiga ""Privati slaugos tarnyba""",869000,Kauno m. sav.,Kauno apskr.,90,80-89%,39,,2022-03-20
11560,301133864,"Uždaroji akcinė bendrovė ""KG logistika""",522920,Kaišiadorių r. sav.,Kauno apskr.,30,90-100%,52,54,2022-03-20
11561,301133896,"UAB ""Ferogama""",522900,Vilniaus m. sav.,Vilniaus apskr.,55,90-100%,43,44,2022-03-20
11562,301134012,"UAB ""ELMER""",467400,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11563,301135648,"UAB ""ARTOM""",466500,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,44,46,2022-03-20
11564,301135655,Compensa Life Vienna Insurance Group SE Lietuvos filialas,651100,Vilniaus m. sav.,Vilniaus apskr.,105,90-100%,60,61,2022-03-20
11565,301135783,"UAB ""Sweco Lietuva""",711200,Vilniaus m. sav.,Vilniaus apskr.,205,90-100%,89,92,2022-03-20
11566,301136732,"UAB ""MP logistika""",494100,Mažeikių r. sav.,Telšių apskr.,180,90-100%,47,48,2022-03-20
11567,301136814,"Viešoji įstaiga ""Soneima""",741000,Telšių r. sav.,Telšių apskr.,15,90-100%,100,100,2022-03-20
11568,301136821,"UAB ""TOP RANGA""",412000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,44,46,2022-03-20
11569,301141626,"UAB ""STATYBŲ VALDYMAS""",412000,Šalčininkų r. sav.,Vilniaus apskr.,50,50-59%,15,15,2022-03-20
11570,301144711,"UAB ""Šiaulių vyturys""",467300,Šiaulių m. sav.,Šiaulių apskr.,10,90-100%,100,100,2022-03-20
11571,301145560,"UAB ""Jokado projektai""",464100,Klaipėdos m. sav.,Klaipėdos apskr.,25,90-100%,100,100,2022-03-20
11572,301145628,UAB Padėklų fabrikas,162400,Prienų r. sav.,Kauno apskr.,15,90-100%,52,54,2022-03-20
11573,301145717,"UAB ""Du-Čia""",141300,Jonavos r. sav.,Kauno apskr.,15,90-100%,55,57,2022-03-20
11574,301145770,"UAB ""Adamantis""",681000,Klaipėdos m. sav.,Klaipėdos apskr.,10,70-79%,21,22,2022-03-20
11575,301147650,UAB BrandFood,563000,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11576,301147878,"UAB ""Primecom""",620200,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,49,50,2022-03-20
11577,301149815,UAB DOMASTA,412000,Vilniaus m. sav.,Vilniaus apskr.,60,90-100%,44,46,2022-03-20
11578,301150244,"UAB ""VIGIDAS PACK""",162400,Šiaulių m. sav.,Šiaulių apskr.,95,90-100%,57,58,2022-03-20
11579,301150283,"UAB ""VIGIDAS TRANSPORT""",494100,Šiaulių m. sav.,Šiaulių apskr.,15,60-69%,15,16,2022-03-20
11580,301150290,"UAB ""CARGO CONTINENTAL GRUPĖ""",494100,Vilniaus r. sav.,Vilniaus apskr.,10,80-89%,30,32,2022-03-20
11581,301150340,"UAB ""Srovių spektras""",432120,Panevėžio m. sav.,Panevėžio apskr.,15,90-100%,54,55,2022-03-20
11582,301150664,"UAB ""Brolis timber""",477890,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11583,301150956,"UAB ""Vaigeta""",561000,Kėdainių r. sav.,Kauno apskr.,25,90-100%,46,48,2022-03-20
11584,301151079,"UAB ""STATYK LT""",412020,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,49,50,2022-03-20
11585,301151798,"UAB ""Alumeco Baltic""",467200,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,100,100,2022-03-20
11586,301151855,"UAB ""Qualified Solutions Partners""",139200,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
11587,301151944,"UAB ""Jolsana""",862100,Klaipėdos r. sav.,Klaipėdos apskr.,15,90-100%,100,,2022-03-20
11588,301152003,"UAB ""SVENHEIM""",310900,Alytaus m. sav.,Alytaus apskr.,225,90-100%,77,79,2022-03-20
11589,301152487,"UAB ""Kristiandra""",561000,Šakių r. sav.,Marijampolės apskr.,10,90-100%,40,42,2022-03-20
11590,301152601,"VšĮ ""Pagrindinis ortopedijos servisas""",862200,Kauno m. sav.,Kauno apskr.,45,90-100%,63,,2022-03-20
11591,301153685,"UAB ""E energy invest""",642000,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
11592,301153856,"Uždaroji akcinė bendrovė ""INTERMODAL CONTAINER SERVICE""",522900,Vilniaus m. sav.,Vilniaus apskr.,20,80-89%,35,36,2022-03-20
11593,301153991,"UAB ""GISTONA""",412000,Plungės r. sav.,Telšių apskr.,15,80-89%,28,29,2022-03-20
11594,301154050,"UAB ""Tegira""",561000,Klaipėdos m. sav.,Klaipėdos apskr.,10,90-100%,100,100,2022-03-20
11595,301160548,"UAB ""ARX TECHNOLOGIES""",432200,Kauno m. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
11596,301162570,"UAB ""PERSONALO SPRENDIMAI""",702200,Kauno m. sav.,Kauno apskr.,10,90-100%,46,48,2022-03-20
11597,301163601,"UAB ""Headline Agency""",702100,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11598,301165577,"UAB ""LT ADVERT""",731100,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,44,45,2022-03-20
11599,301166558,"UAB ""Karjeras""",494100,Kauno m. sav.,Kauno apskr.,10,80-89%,32,33,2022-03-20
11600,301167546,"UAB ""ARG technika""",412000,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
11601,301168655,"UAB ""IN FLEXUM""",172900,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11602,301168744,"UAB ""Kraukkita""",494100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11603,301168769,"UAB ""Regvalda""",494100,Kaišiadorių r. sav.,Kauno apskr.,25,50-59%,13,13,2022-03-20
11604,301169554,"IĮ ""S-CAR""",494100,Kauno r. sav.,Kauno apskr.,15,50-59%,13,13,2022-03-20
11605,301169611,"UAB ""Medikvita""",862100,Mažeikių r. sav.,Telšių apskr.,60,90-100%,58,,2022-03-20
11606,301169629,"UAB ""Videiva""",494100,Šiaulių m. sav.,Šiaulių apskr.,25,80-89%,29,30,2022-03-20
11607,301169732,"UAB ""Perlas Finance""",661900,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11608,301170040,"UAB ""3T - Transfers technologies for textile""",181200,Vilniaus m. sav.,Vilniaus apskr.,70,90-100%,76,78,2022-03-20
11609,301170072,"UAB ""Darvitrans""",494100,Šiaulių r. sav.,Šiaulių apskr.,10,60-69%,15,16,2022-03-20
11610,301170097,"UAB ""Delikana""",463200,Kauno r. sav.,Kauno apskr.,20,90-100%,61,63,2022-03-20
11611,301170916,"UAB ""AITI GROUP""",951100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11612,301170923,"UAB ""IRMARIM""",467300,Širvintų r. sav.,Vilniaus apskr.,10,50-59%,11,11,2022-03-20
11613,301171007,"UAB ""Betono takas""",412000,Panevėžio m. sav.,Panevėžio apskr.,10,70-79%,25,26,2022-03-20
11614,301171142,"""WISTRA CARGO CONTROL"", UAB",467410,Klaipėdos m. sav.,Klaipėdos apskr.,45,90-100%,64,66,2022-03-20
11615,301171249,"IĮ ""Saurolita""",463100,Vilkaviškio r. sav.,Marijampolės apskr.,10,90-100%,40,42,2022-03-20
11616,301171263,"UAB ""KG Constructions Group""",702200,Vilniaus r. sav.,Vilniaus apskr.,40,90-100%,100,100,2022-03-20
11617,301173613,"UAB ""Aplinkos darbai""",813000,Kauno m. sav.,Kauno apskr.,15,70-79%,25,26,2022-03-20
11618,301173727,"UAB ""Dovanų šalis""",477810,Vilniaus m. sav.,Vilniaus apskr.,30,90-100%,73,75,2022-03-20
11619,301177558,"Viešoji įstaiga NEĮGALIŲJŲ UGDYMO IR LAVINIMO CENTRAS ""TU GALI""",829200,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,61,63,2022-03-20
11620,301178674,"UAB ""Paltela""",619000,Klaipėdos m. sav.,Klaipėdos apskr.,10,90-100%,44,46,2022-03-20
11621,301179566,"UAB ""Daramas""",467700,Kretingos r. sav.,Klaipėdos apskr.,10,90-100%,40,42,2022-03-20
11622,301186571,"UAB ""Autoritmas""",494100,Šiaulių m. sav.,Šiaulių apskr.,35,60-69%,15,16,2022-03-20
11623,301199533,"DEMATIC LIMITED filialas ""Dematic Kaunas""",711200,Kauno m. sav.,Kauno apskr.,235,90-100%,69,72,2022-03-20
11624,301206554,"UAB ""Sveikatos gija""",862300,Šilutės r. sav.,Klaipėdos apskr.,50,90-100%,100,,2022-03-20
11625,301206771,"UAB ""Saldeta""",107100,Šilalės r. sav.,Tauragės apskr.,10,90-100%,100,100,2022-03-20
11626,301216534,Anykščių rajono socialinių paslaugų centras,881000,Anykščių r. sav.,Utenos apskr.,85,90-100%,100,100,2022-03-20
11627,301225572,"UAB ""ARM LT""",433900,Druskininkų sav.,Alytaus apskr.,25,60-69%,19,19,2022-03-20
11628,301227559,"UAB ""Navistas""",301100,Klaipėdos m. sav.,Klaipėdos apskr.,115,0-9%,0,0,2022-03-20
11629,301232823,"UAB ""Eldaga""",711220,Tauragės r. sav.,Tauragės apskr.,15,80-89%,27,28,2022-03-20
11630,301238630,"ON Media, UAB",581300,Panevėžio m. sav.,Panevėžio apskr.,15,80-89%,39,40,2022-03-20
11631,301238858,"UAB ""Itelsis""",422200,Vilniaus m. sav.,Vilniaus apskr.,25,70-79%,27,28,2022-03-20
11632,301240738,"""AG Baltic"", UAB",310900,Kauno m. sav.,Kauno apskr.,55,90-100%,67,69,2022-03-20
11633,301240827,"""Orkla Care"" UAB",463800,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11634,301240834,"UAB ""Eritėja""",412010,Klaipėdos r. sav.,Klaipėdos apskr.,40,80-89%,37,38,2022-03-20
11635,301240880,"UAB ""AKNERA""",432100,Vilniaus m. sav.,Vilniaus apskr.,15,70-79%,23,24,2022-03-20
11636,301240955,"UAB ""Gemma sveikatos centras""",862200,Vilniaus m. sav.,Vilniaus apskr.,130,90-100%,100,,2022-03-20
11637,301241167,"UAB ""AUTO ŠVARUOLIS""",452000,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
11638,301241288,UAB Baltic flax,139200,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,61,63,2022-03-20
11639,301247533,"UAB ""SKP stiklas""",231200,Kauno m. sav.,Kauno apskr.,85,90-100%,92,94,2022-03-20
11640,301249865,"UAB ""Ariogalos statybinės konstrukcijos""",236100,Raseinių r. sav.,Kauno apskr.,25,70-79%,24,25,2022-03-20
11641,301253536,"UAB ""Patologijos diagnostika""",862200,Vilniaus m. sav.,Vilniaus apskr.,35,90-100%,74,,2022-03-20
11642,301255569,Klaipėdos miesto visuomenės sveikatos biuras,841200,Klaipėdos m. sav.,Klaipėdos apskr.,105,90-100%,94,96,2022-03-20
11643,301258615,"UAB ""SAME SYSTEM""",620100,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
11644,301262535,"UAB ""Ravilis""",411000,Palangos m. sav.,Klaipėdos apskr.,10,70-79%,24,25,2022-03-20
11645,301268552,"UAB ""Extra Services""",620200,Šiaulių m. sav.,Šiaulių apskr.,85,90-100%,60,62,2022-03-20
11646,301272910,"Viešoji įstaiga ""Elijos vėjarožė""",932900,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,100,100,2022-03-20
11647,301275803,"UAB ""GORDON LOGISTICS""",522920,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,67,69,2022-03-20
11648,301276531,UAB Gren Klaipėda,353000,Klaipėdos m. sav.,Klaipėdos apskr.,30,90-100%,52,54,2022-03-20
11649,301278614,"UAB ""Baltic Facility Management""",683200,Kauno m. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
11650,301290538,"UAB ""DPS Advertising""",181200,Vilniaus m. sav.,Vilniaus apskr.,35,90-100%,76,78,2022-03-20
11651,301295752,"UAB ""VR Electric""",466900,Kaišiadorių r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
11652,301299537,"UAB ""MAVIS""",467500,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,61,63,2022-03-20
11653,301299601,"UAB ""RESTUM""",433900,Kauno r. sav.,Kauno apskr.,10,70-79%,21,21,2022-03-20
11654,301299708,"UAB ""Geležinkelio produkcijos atitikties vertinimo centras""",712000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11655,301300690,"UAB ""Biuro sprendimai""",461700,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,43,44,2022-03-20
11656,301300733,"UAB ""Sidabrinis amžius""",731100,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11657,301306615,"UAB ""Kornela""",412000,Kauno m. sav.,Kauno apskr.,10,60-69%,20,21,2022-03-20
11658,301307539,"UAB ""JUNGSTATA""",310900,Ignalinos r. sav.,Utenos apskr.,10,90-100%,43,44,2022-03-20
11659,301313549,"313 architects, UAB",741000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11660,301318539,"UAB ""Novian Technologies""",465100,Vilniaus m. sav.,Vilniaus apskr.,75,90-100%,100,100,2022-03-20
11661,301335531,"UAB ""Nivela""",562900,Klaipėdos m. sav.,Klaipėdos apskr.,20,90-100%,61,63,2022-03-20
11662,301341534,UAB Evrida,494100,Jurbarko r. sav.,Tauragės apskr.,10,90-100%,100,100,2022-03-20
11663,301353547,"Uždaroji akcinė bendrovė ""Baltic Logistic Solutions""",521000,Kauno r. sav.,Kauno apskr.,800,90-100%,45,46,2022-03-20
11664,301355530,"UAB ""SEORA""",561000,Vilniaus m. sav.,Vilniaus apskr.,15,80-89%,35,36,2022-03-20
11665,301358544,UAB Ignalinos sveikatos centras,862100,Ignalinos r. sav.,Utenos apskr.,40,90-100%,100,,2022-03-20
11666,301359557,"UAB ""Arsateka""",494100,Klaipėdos m. sav.,Klaipėdos apskr.,15,30-39%,5,5,2022-03-20
11667,301378536,"UAB ""KONTESTA""",251200,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,54,55,2022-03-20
11668,301384539,"UAB ""Europietiškos plieno konstrukcijos""",251100,Šilutės r. sav.,Klaipėdos apskr.,15,90-100%,54,55,2022-03-20
11669,301386547,"Uždaroji akcinė bendrovė ""Naujoji Aleksoto statyba""",412010,Kauno m. sav.,Kauno apskr.,15,90-100%,52,54,2022-03-20
11670,301400534,"UAB ""Margučiai""",466100,Panevėžio r. sav.,Panevėžio apskr.,70,90-100%,44,46,2022-03-20
11671,301403587,"UAB ""Fajetono grupė""",139200,Jonavos r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
11672,301425637,"""Norvegijos statyba"", UAB",433900,Kauno m. sav.,Kauno apskr.,10,70-79%,21,21,2022-03-20
11673,301425669,UAB Agmis,620100,Kauno m. sav.,Kauno apskr.,100,90-100%,100,100,2022-03-20
11674,301430538,"UAB ""Hidraulit""",281200,Kauno r. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
11675,301442533,"Viešoji įstaiga ""Baltijos futbolo akademija""",931200,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,52,54,2022-03-20
11676,301448582,"UAB ""Vitakonsult""",749000,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
11677,301451532,"UAB ""Skaitel""",432100,Kauno m. sav.,Kauno apskr.,45,60-69%,19,19,2022-03-20
11678,301455534,"UAB ""Cargoland logistics""",522920,Vilniaus m. sav.,Vilniaus apskr.,10,50-59%,14,15,2022-03-20
11679,301462557,"UAB ""Navalda""",467400,Šiaulių m. sav.,Šiaulių apskr.,10,90-100%,100,100,2022-03-20
11680,301463552,"UAB ""SDG kodas""",464200,Kauno m. sav.,Kauno apskr.,35,90-100%,100,100,2022-03-20
11681,301487560,"UAB ""SDG grupė""",702200,Kauno m. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
11682,301487813,Viešoji įstaiga Sostinės krepšinio mokykla,855100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11683,301487980,"UAB ""Trademax""",479900,Vilniaus m. sav.,Vilniaus apskr.,10,80-89%,27,28,2022-03-20
11684,301489547,"Blue Bridge MSP, UAB",620900,Vilniaus m. sav.,Vilniaus apskr.,135,90-100%,74,76,2022-03-20
11685,301489579,"UAB ""Aumura""",750000,Klaipėdos m. sav.,Klaipėdos apskr.,10,90-100%,100,100,2022-03-20
11686,301489718,"UAB ""Vaiberta""",310900,Šiaulių m. sav.,Šiaulių apskr.,25,80-89%,36,38,2022-03-20
11687,301489732,"UAB ""MAZUS""",172100,Šilutės r. sav.,Klaipėdos apskr.,15,90-100%,100,100,2022-03-20
11688,301490542,"UAB ""Momblan""",101300,Marijampolės sav.,Marijampolės apskr.,30,90-100%,54,55,2022-03-20
11689,301490859,"Uždaroji akcinė bendrovė ""SPRUSAS GROUP""",467300,Vilniaus m. sav.,Vilniaus apskr.,10,80-89%,33,34,2022-03-20
11690,301490866,"UAB ""Autožiedas""",452000,Ukmergės r. sav.,Vilniaus apskr.,15,90-100%,54,55,2022-03-20
11691,301491217,"UAB ""Grožio namai Aurum""",869000,Šilalės r. sav.,Tauragės apskr.,10,90-100%,100,,2022-03-20
11692,301491320,"UAB ""LEMATEC""",466900,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,55,57,2022-03-20
11693,301492568,"UAB ""Ave vita"" klinika",862100,Kauno m. sav.,Kauno apskr.,65,90-100%,61,,2022-03-20
11694,301492835,UAB Airy LT,432200,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11695,301494722,"UAB ""KVADRANTAS""",494100,Druskininkų sav.,Alytaus apskr.,10,80-89%,29,30,2022-03-20
11696,301495532,"UAB ""OVC mokymai""",855900,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,100,100,2022-03-20
11697,301495607,"UAB ""TIKAS""",475200,Raseinių r. sav.,Kauno apskr.,20,90-100%,100,100,2022-03-20
11698,301495888,"UAB ""RePlaza""",464200,Kauno m. sav.,Kauno apskr.,30,90-100%,54,55,2022-03-20
11699,301498585,"UAB ""Ekologiniai projektai""",370000,Kauno m. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
11700,301498699,"UAB ""Aurivirsmus""",862200,Panevėžio m. sav.,Panevėžio apskr.,10,90-100%,100,,2022-03-20
11701,301498927,UAB Telšių šeimos klinika,862100,Telšių r. sav.,Telšių apskr.,25,90-100%,49,,2022-03-20
11702,301500627,"UAB ""Rolaima""",433900,Šiaulių r. sav.,Šiaulių apskr.,25,60-69%,18,19,2022-03-20
11703,301500659,Utenos rajono savivaldybės priešgaisrinė tarnyba,842500,Utenos r. sav.,Utenos apskr.,55,90-100%,48,50,2022-03-20
11704,301500997,"UAB ""Druskininkų vandenys""",360000,Druskininkų sav.,Alytaus apskr.,60,90-100%,51,52,2022-03-20
11705,301502628,"UAB ""ALTECHNA R&D""",721900,Vilniaus m. sav.,Vilniaus apskr.,55,90-100%,100,100,2022-03-20
11706,301503751,"UAB ""Verslo sala""",682000,Mažeikių r. sav.,Telšių apskr.,10,90-100%,100,100,2022-03-20
11707,301503833,"UAB ""Konferenta""",823000,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,64,66,2022-03-20
11708,301505599,Lietuvos kultūros institutas,841200,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,100,100,2022-03-20
11709,301505617,Pasvalio rajono savivaldybės visuomenės sveikatos biuras,841200,Pasvalio r. sav.,Panevėžio apskr.,15,80-89%,36,37,2022-03-20
11710,301505631,"UAB ""BS Classic""",310900,Vilniaus m. sav.,Vilniaus apskr.,150,90-100%,90,93,2022-03-20
11711,301506046,"""Elektrum Lietuva"", UAB",351400,Vilniaus m. sav.,Vilniaus apskr.,110,90-100%,76,78,2022-03-20
11712,301506060,"UAB ""HERMEKA""",411000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,40,42,2022-03-20
11713,301506847,"UAB ""Sonatos tekstilė""",464100,Kauno m. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
11714,301506879,"UAB ""PROMONTA""",271200,Kauno m. sav.,Kauno apskr.,30,90-100%,70,72,2022-03-20
11715,301507027,"UAB ""GEDARTA""",432200,Molėtų r. sav.,Utenos apskr.,25,80-89%,29,30,2022-03-20
11716,301507123,"M-Finance, UAB",692000,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11717,301507301,"Uždaroji akcinė bendrovė ""Kuršėnų vandenys""",360000,Šiaulių r. sav.,Šiaulių apskr.,60,90-100%,58,60,2022-03-20
11718,301507333,"Uždaroji akcinė draudimo brokerių bendrovė ""Insurance Brokers Group""",662200,Vilniaus m. sav.,Vilniaus apskr.,55,80-89%,39,40,2022-03-20
11719,301507397,"UAB ""RDA SPOT""",325020,Vilniaus m. sav.,Vilniaus apskr.,25,90-100%,66,68,2022-03-20
11720,301509590,"UAB ""TADAS & DK""",412000,Kelmės r. sav.,Šiaulių apskr.,15,70-79%,23,24,2022-03-20
11721,301509626,"UAB ""Reval MBG""",310900,Rietavo sav.,Telšių apskr.,35,90-100%,77,79,2022-03-20
11722,301510614,"UAB ""DINETA""",692000,Kauno m. sav.,Kauno apskr.,15,90-100%,55,57,2022-03-20
11723,301510639,"UAB ""Prekybos namai BMZ-Baltija""",467200,Šiaulių m. sav.,Šiaulių apskr.,10,90-100%,100,100,2022-03-20
11724,301511602,"ACO NORDIC, UAB",467300,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11725,301511627,"UAB ""Transratai""",453100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11726,301511666,"Uždaroji akcinė bendrovė ""Mardosų spaustuvė""",181200,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11727,301512533,"UAB ""Aukštaitijos ranga""",412000,Panevėžio m. sav.,Panevėžio apskr.,50,80-89%,33,34,2022-03-20
11728,301513603,"UAB ""BLEIRAS LOGISTICS""",522900,Vilniaus m. sav.,Vilniaus apskr.,40,90-100%,78,81,2022-03-20
11729,301513674,"UAB ""Imda""",412000,Klaipėdos r. sav.,Klaipėdos apskr.,10,70-79%,25,26,2022-03-20
11730,301513770,UAB Harlio dirbtuvės,561000,Palangos m. sav.,Klaipėdos apskr.,10,80-89%,33,34,2022-03-20
11731,301513806,"UAB ""Nemezidė""",862100,Anykščių r. sav.,Utenos apskr.,10,90-100%,43,,2022-03-20
11732,301519549,"UAB ""Ekovalda""",382100,Klaipėdos m. sav.,Klaipėdos apskr.,15,90-100%,100,100,2022-03-20
11733,301519684,"Uždaroji akcinė bendrovė ""APRANGA SLT""",477100,Vilniaus m. sav.,Vilniaus apskr.,65,90-100%,100,100,2022-03-20
11734,301519905,"UAB ""Abitra""",522920,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,43,44,2022-03-20
11735,301520131,"UAB ""Volonta""",412000,Kauno m. sav.,Kauno apskr.,10,80-89%,27,28,2022-03-20
11736,301523615,"UAB ""PJ Trans""",494100,Kėdainių r. sav.,Kauno apskr.,15,80-89%,28,29,2022-03-20
11737,301523654,"UAB ""Rywal LT""",467400,Kauno m. sav.,Kauno apskr.,15,90-100%,100,100,2022-03-20
11738,301523693,Šilalės rajono savivaldybės visuomenės sveikatos biuras,841200,Šilalės r. sav.,Tauragės apskr.,10,90-100%,100,100,2022-03-20
11739,301523825,"UAB ""Šildymo sprendimai""",432200,Kelmės r. sav.,Šiaulių apskr.,15,90-100%,100,100,2022-03-20
11740,301525737,UAB Baumit,467300,Vilniaus r. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11741,301526892,"UAB ""Statybos titanai""",412010,Vilniaus m. sav.,Vilniaus apskr.,30,90-100%,71,73,2022-03-20
11742,301526981,UAB TP LOGISTICS,494100,Vilniaus m. sav.,Vilniaus apskr.,115,40-49%,8,8,2022-03-20
11743,301528555,"UAB ""Zabo transportas""",494100,Kelmės r. sav.,Šiaulių apskr.,10,70-79%,22,23,2022-03-20
11744,301529536,"UAB ""Junitra""",522900,Klaipėdos m. sav.,Klaipėdos apskr.,100,20-29%,4,4,2022-03-20
11745,301530570,"UAB ""Termoplasta""",293200,Kauno r. sav.,Kauno apskr.,10,90-100%,100,100,2022-03-20
11746,301530652,"UAB ""Metalo laužas""",467700,Kauno m. sav.,Kauno apskr.,50,90-100%,47,48,2022-03-20
11747,301530766,"UAB ""VPA Logistics""",521000,Klaipėdos m. sav.,Klaipėdos apskr.,115,90-100%,69,72,2022-03-20
11748,301530887,"UAB ""Almarti""",494100,Vilniaus r. sav.,Vilniaus apskr.,10,60-69%,15,16,2022-03-20
11749,301531868,"UAB ""Gintauto transportas""",494100,Vilniaus m. sav.,Vilniaus apskr.,40,60-69%,17,17,2022-03-20
11750,301532404,"UAB ""Baltic Bet""",920030,Vilniaus m. sav.,Vilniaus apskr.,45,90-100%,61,63,2022-03-20
11751,301532468,"UAB ""Ledo kavinė""",561000,Vilniaus m. sav.,Vilniaus apskr.,15,90-100%,50,52,2022-03-20
11752,301532607,"UAB ""Judisa""",494100,Vilniaus m. sav.,Vilniaus apskr.,40,90-100%,49,50,2022-03-20
11753,301532767,"Uždaroji akcinė bendrovė ""USP Baltics""",464600,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,100,100,2022-03-20
11754,301533011,"UAB ""NAMŲ FABRIKO VALDA""",561000,Visagino sav.,Utenos apskr.,20,90-100%,62,64,2022-03-20
11755,301533164,"UAB ""MEPCO""",712070,Vilniaus m. sav.,Vilniaus apskr.,35,90-100%,44,45,2022-03-20
11756,301533221,"UAB ""Autosma""",467700,Marijampolės sav.,Marijampolės apskr.,15,90-100%,55,57,2022-03-20
11757,301534615,"UAB ""Metlana""",467700,Šilutės r. sav.,Klaipėdos apskr.,15,80-89%,36,37,2022-03-20
11758,301534622,Magnaplast Sp. z o.o. Kauno filialas,467600,Kauno m. sav.,Kauno apskr.,10,90-100%,44,46,2022-03-20
11759,301534686,"UAB ""VD PACK""",222200,Švenčionių r. sav.,Vilniaus apskr.,80,80-89%,29,30,2022-03-20
11760,301534711,"UAB ""KOLMISOFT""",620100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,43,44,2022-03-20
11761,301535877,"""DEICHMANN AVALYNĖ"", UAB",477200,Vilniaus m. sav.,Vilniaus apskr.,165,90-100%,100,100,2022-03-20
11762,301536032,"UAB ""RAKVA""",731100,Vilniaus m. sav.,Vilniaus apskr.,10,90-100%,44,46,2022-03-20
11763,301536737,"UAB ""Akira Group""",412000,Šiaulių m. sav.,Šiaulių apskr.,20,90-100%,43,44,2022-03-20
11764,301536790,"VšĮ ""PENKTA KOJA""",949900,Kauno m. sav.,Kauno apskr.,10,90-100%,49,50,2022-03-20
11765,301537077,"UAB ""POLIBARR""",171200,Vilniaus m. sav.,Vilniaus apskr.,20,90-100%,63,65,2022-03-20
